metabolite_1,value_1,metabolite_2,value_2
arab__L,,,
acgam,,,
glcr,,,
succ,,,
gal,,,
asp__L,,,
pro__L,,,
ala__D,,,
tre,,,
man,,,
galt,,,
ser__D,,,
sbt__D,,,
glyc,,,
fuc__L,,,
glcur,,,
glcn,,,
glyc3p,,,
xyl__D,,,
lac__L,,,
for,,,
mnl,,,
glu__L,,,
g6p,,,
galctn__D,,,
mal__D,,mal__L,
rib__D,,,
rmn,,,
fru,,,
ac,,,
glc__D,,,
malt,,,
melib,,,
thymd,,,
asn__L,,,
_12ppd__S,,,
akg,,,
_2obut,,,
lcts,,,
sucr,,,
uri,,,
gln__L,,,
g1p,,,
f6p,,,
malttr,,,
dad_2,,,
adn,,,
cit,,,
inost,,,
fum,,,
ppa,,,
galct__D,,,
glyclt,,,
glx,,,
ins,,,
ser__L,,,
thr__L,,,
ala__L,,,
acac,,,
acmana,,,
mal__D,,,
mal__L,,,
tym,,,
lyx__L,,,
pyr,,,
galctn__L,,,
galur,,,
peamn,,,
etha,,,
glycogen,,,
acgal,,,
acnam,,,
all__D,,,
arbt,,,
_4abut,,,
but,,,
dca,,,
hxa,,,
_4hbz,,,
_5dglcn,,,
oxa,,,
quin,,,
tartr__D,,,
tartr__L,,,
acglu,,,
arg__L,,,
gly,,,
his__L,,,
hom__L,,,
ile__L,,,
leu__L,,,
lys__L,,,
met__L,,,
orn,,,
phe__L,,,
val__L,,,
crn,,crn__D,
ptrc,,,
dha,,,
nh4,,,
no2,,,
no3,,,
urea,,,
ala__L,,,
arg__L,,,
asn__L,,,
asp__L,,,
cys__L,,,
glu__L,,,
gln__L,,,
gly,,,
his__L,,,
ile__L,,,
leu__L,,,
lys__L,,,
met__L,,,
phe__L,,,
pro__L,,,
ser__L,,,
thr__L,,,
trp__L,,,
tyr__L,,,
val__L,,,
ala__D,,,
glu__D,,,
ser__D,,,
citr__L,,,
hom__L,,,
orn,,,
acglu,,,
etha,,,
ptrc,,,
agm,,,
peamn,,,
tym,,,
gam,,,
acgam,,,
acgal,,,
acmana,,,
ade,,,
adn,,,
cytd,,,
csn,,,
gua,,,
gsn,,,
thym,,,
thymd,,,
ura,,,
uri,,,
ins,,,
xan,,,
xtsn,,,
urate,,,
alltn,,,
ala__L,,asp__L,
ala__L,,gln__L,
ala__L,,glu__L,
ala__L,,gly,
ala__L,,his__L,
ala__L,,leu__L,
ala__L,,thr__L,
gly,,asn__L,
gly,,gln__L,
gly,,glu__L,
gly,,met__L,
met__L,,ala__L,
pi,,,
ppi,,,
_3amp,,,
amp,,,
_23camp,,,
_2pg,,,
_3pg,,,
_3gmp,,,
gmp,,,
_23cgmp,,,
pep,,,
_2pglyc,,,
g1p,,,
g6p,,,
gam6p,,,
_6pgc,,,
_3cmp,,,
cmp,,,
_23ccmp,,,
man1p,,,
man6p,,,
pser__L,,,
thrp,,,
_3ump,,,
ump,,,
_23cump,,,
tyrp,,,
dtmp,,,
minohp,,,
so4,,,
tsul,,,
cys__L,,,
cys__D,,,
cgly,,,
_3sala,,,
cyst__L,,,
gthrd,,,
met__L,,,
met__D,,,
metsox_S__L,,,
taur,,,
butso3,,,
isetac,,,
mso3,,,
