,score
ACETOACETATE-DEG-PWY,98.9
PWY-6611,91.1
PWY-6609,91.1
SALVADEHYPOX-PWY,91.1
PWY0-1296,91.1
PUTDEG-PWY,87.0
ORNDEG-PWY,87.0
ARGDEG-PWY,79.05
ORNARGDEG-PWY,79.05
PWY-7193,72.6
PWY-7196,72.6
PWY0-1295,72.6
PWY0-163,72.6
PWY-6556,72.6
PWY-6537,71.1
4AMINOBUTMETAB-PWY,71.1
PWY-6535,71.1
GLYOXYLATE-BYPASS,63.2
PWY0-1061,61.5
ALANINE-SYN2-PWY,61.5
ACETATEUTIL-PWY,61.15
PWY0-1477,61.15
PWY0-1312,61.15
TCA,60.32
TCA-GLYOX-BYPASS,60.32
FERMENTATION-PWY,58.62
GALACTUROCAT-PWY,56.7
GALACT-GLUCUROCAT-PWY,56.7
GLUCUROCAT-PWY,56.7
PWY-7242,56.7
OXIDATIVEPENT-PWY,55.0
PENTOSE-P-PWY,55.0
AMMASSIM-PWY,50.5
GLUTSYNIII-PWY,50.5
GLUTSYN-PWY,50.5
GLYCOLYSIS-TCA-GLYOX-BYPASS,46.64
GLYCOLYSIS-E-D,38.6
GLUCONEO-PWY,37.73
ENTNER-DOUDOROFF-PWY,35.0
HEXITOLDEGSUPER-PWY,32.95
PWY-5484,32.95
GLYCOLYSIS,32.95
GLYCEROLMETAB-PWY,23.0
